step,ps0,ps1,ps2,ps3,ps4,ps5,ps6,ps7,
0,3425.0,536.74,0.0,0,0,0.0,0.0,2259.0,
1,3407.0,540.74,0.0,0,0.6600000000000001,0.0,0.0,2258.0,
2,3350.0,541.74,0.0,0,0,0.0,0.0,2018.0,
3,3421.0,527.74,0.0,0,0,0.0,0.0,2159.0,
4,3693.0,536.74,0.0,0,0,0.0,0.0,2253.0,
5,3342.0,539.74,0.0,0,0,0.0,0.0,2155.0,
6,3382.0,522.74,0.0,0,0,0.0,0.0,1945.0,
7,2819.0,484.74,0.0,0,0,0.0,0.0,1710.0,
8,2728.0,432.74,0.0,0,0.6600000000000001,0.0,0.0,1266.0,
9,2489.0,397.74,0.0,0,0,0.0,0.0,1977.0,
10,2269.0,350.74,0.0,0,0,0.0,0.0,1028.0,
11,2086.0,358.74,0.0,0,0,0.0,0.0,772.0,
12,1855.0,335.74,0.0,0,5.66,0.0,0.0,573.0,
13,1692.0,314.74,0.0,0,0,0.0,0.0,0.0,
14,2453.0,289.74,0.0,0,0,0.0,0.0,328.0,
15,1899.0,286.74,0.0,0,0,0.0,0.0,228.0,
16,1280.0,252.74,0.0,0,0,0.0,0.0,1172.0,
17,1182.0,240.74,0.0,8.68,0,0.0,0.0,73.0,
18,351.0,229.74,0.0,0,2.66,0.0,0.0,0.0,
19,1040.0,215.74,0.0,0,0,0.0,0.0,0.0,
20,885.0,187.74,0.0,0,0,0.0,0.0,0.0,
21,1695.0,191.74,0.0,0,0,0.0,0.0,0.0,
22,748.0,172.74,0.0,0,0,0.0,0.0,0.0,
23,760.0,164.74,0.0,0,0,0.0,0.0,0.0,
24,712.0,158.74,0.0,0,6.66,0.0,0.0,0.0,
25,668.0,159.74,0.0,0,0,0.0,0.0,0.0,
26,569.0,138.74,0.0,0,0,0.0,0.0,0.0,
27,650.0,131.74,0.0,0,0,0.0,0.0,0.0,
28,580.0,111.74,0.0,13.68,0,0.0,0.0,386.0,
29,476.0,119.74,0.0,0,0,0.0,0.0,0.0,
30,0.0,115.74,0.0,0,0,0.0,0.0,0.0,
31,489.0,105.74,0.0,0,0,0.0,0.0,0.0,
32,566.0,102.74,0.0,0,0,0.0,0.0,0.0,
33,912.0,99.74,0.0,0.6799999999999997,0.6600000000000001,0.0,0.0,0.0,
34,420.0,91.74,0.0,0,0,0.0,0.0,0.0,
35,384.0,103.74,0.0,0.6799999999999997,0,0.0,0.0,0.0,
36,389.0,88.74,0.0,0,0,0.0,0.0,0.0,
37,319.0,79.74,0.0,0,4.66,0.0,0.0,0.0,
38,307.0,77.74,0.0,0,0,0.0,0.0,0.0,
39,209.0,67.74,0.0,9.68,0,0.0,0.0,0.0,
40,274.0,72.74,0.0,0,0,0.0,0.0,0.0,
41,298.0,68.74,0.0,0,0.6600000000000001,0.0,0.0,0.0,
42,251.0,79.74,0.0,0,0,0.0,0.0,0.0,
43,237.0,48.74,0.0,0,0,0.0,0.0,0.0,
44,222.0,58.74,0.0,0,0.6600000000000001,0.0,0.0,0.0,
45,687.0,56.74,0.0,0,0,0.0,0.0,0.0,
46,209.0,54.74,0.0,0,0,0.0,0.0,0.0,
47,338.0,56.74,0.0,0,0,0.0,0.0,0.0,
48,221.0,52.74,0.0,0,0,0.0,0.0,0.0,
49,185.0,49.74,0.0,0,0,0.0,0.0,0.0,
50,0.0,48.74,0.0,0,0,0.0,0.0,0.0,
51,0.0,31.740000000000002,0.0,0,0,0.0,0.0,0.0,
52,165.0,43.74,0.0,0,0,0.0,0.0,0.0,
53,181.0,44.74,0.0,0,1.6600000000000001,0.0,0.0,0.0,
54,610.0,45.74,0.0,0,0,0.0,0.0,0.0,
55,144.0,35.74,0.0,0,0,0.0,0.0,0.0,
56,131.0,37.74,0.0,0.6799999999999997,1.6600000000000001,0.0,0.0,0.0,
57,0.0,39.74,0.0,0,0,0.0,0.0,0.0,
58,157.0,34.74,0.0,0,0.6600000000000001,0.0,0.0,0.0,
59,144.0,36.74,0.0,0,0,0.0,0.0,0.0,
60,140.0,34.74,0.0,0,0,0.0,0.0,0.0,
61,117.0,5.74,0.0,0,0,0.0,0.0,0.0,
62,113.0,32.74,0.0,0,0,0.0,0.0,0.0,
63,0.0,30.740000000000002,0.0,0,1.6600000000000001,0.0,0.0,0.0,
64,102.0,28.740000000000002,0.0,0,0,0.0,0.0,0.0,
65,210.0,27.740000000000002,0.0,0.6799999999999997,0,0.0,0.0,0.0,
66,402.0,43.74,0.0,0,3.66,0.0,0.0,0.0,
67,92.0,26.740000000000002,0.0,0,0,0.0,0.0,0.0,
68,90.0,36.74,0.0,0,0,0.0,0.0,0.0,
69,83.0,25.740000000000002,0.0,0,0,0.0,0.0,0.0,
70,92.0,24.740000000000002,0.0,0,0,0.0,0.0,0.0,
71,96.0,2.74,0.0,0,3.66,0.0,0.0,0.0,
72,323.0,6.74,0.0,0,0,0.0,0.0,0.0,
73,81.0,20.740000000000002,0.0,0,0,0.0,0.0,0.0,
74,69.0,18.740000000000002,0.0,0,0,0.0,0.0,0.0,
75,0.0,45.74,0.0,0,0,0.0,0.0,0.0,
76,71.0,21.740000000000002,0.0,0,0,0.0,0.0,0.0,
77,81.0,21.740000000000002,0.0,0,0,0.0,0.0,0.0,
78,61.0,0,0.0,0,0,0.0,0.0,0.0,
79,69.0,3.74,0.0,0,0,0.0,0.0,0.0,
80,60.0,18.740000000000002,0.0,0,0,0.0,0.0,0.0,
81,0.0,15.74,0.0,0,0,0.0,0.0,0.0,
82,70.0,18.740000000000002,0.0,0,0,0.0,0.0,0.0,
83,79.0,19.740000000000002,0.0,0,0,0.0,0.0,0.0,
84,63.0,14.74,0.0,0,0,0.0,0.0,0.0,
85,63.0,17.740000000000002,0.0,0,0,0.0,0.0,0.0,
86,44.0,43.74,0.0,0,0,0.0,0.0,0.0,
87,78.0,32.74,0.0,0,0,0.0,0.0,0.0,
88,47.0,15.74,0.0,0,0,0.0,0.0,0.0,
89,40.0,14.74,0.0,0,1.6600000000000001,0.0,0.0,0.0,
90,0.0,0,0.0,0,4.66,0.0,0.0,0.0,
91,40.0,16.740000000000002,0.0,0,0,0.0,0.0,0.0,
92,43.0,15.74,0.0,0,0,0.0,0.0,0.0,
93,47.0,38.74,0.0,0,0,0.0,0.0,0.0,
94,46.0,15.74,0.0,0,0,0.0,0.0,0.0,
95,51.0,16.740000000000002,0.0,0,0,0.0,0.0,0.0,
96,181.0,7.74,0.0,0,0,0.0,0.0,0.0,
97,46.0,14.74,0.0,0,0,0.0,0.0,0.0,
98,119.0,14.74,0.0,0,0,0.0,0.0,0.0,
99,30.0,12.74,0.0,0,0,0.0,0.0,0.0,
100,31.0,13.74,0.0,0,0,0.0,0.0,0.0,
101,0.0,11.74,0.0,0,0,0.0,0.0,0.0,
102,0.0,0,0.0,0,5.66,0.0,0.0,0.0,
103,29.0,9.74,0.0,0,0,0.0,0.0,0.0,
104,26.0,15.74,0.0,0,0,0.0,0.0,0.0,
105,177.0,23.740000000000002,0.0,0,0,0.0,0.0,0.0,
106,29.0,7.74,0.0,0,0,0.0,0.0,0.0,
107,30.0,11.74,0.0,0,0,0.0,0.0,0.0,
108,0.0,13.74,0.0,0,0,0.0,0.0,0.0,
109,23.0,15.74,0.0,0,0,0.0,0.0,0.0,
110,26.0,10.74,0.0,0,0,0.0,0.0,0.0,
111,19.0,0.7400000000000002,0.0,0,0,0.0,0.0,0.0,
112,26.0,8.74,0.0,0,0,0.0,0.0,0.0,
113,138.0,7.74,0.0,0,0,0.0,0.0,0.0,
114,25.0,9.74,0.0,0,0,0.0,0.0,0.0,
115,46.0,8.74,0.0,0,0,0.0,0.0,0.0,
116,66.0,8.74,0.0,0,0,0.0,0.0,0.0,
117,126.0,24.740000000000002,0.0,0,0,0.0,0.0,0.0,
118,24.0,8.74,0.0,0,0,0.0,0.0,0.0,
119,15.0,26.740000000000002,0.0,0,0,0.0,0.0,0.0,
120,13.0,11.74,0.0,0,1.6600000000000001,0.0,0.0,0.0,
121,20.0,8.74,0.0,0,0,0.0,0.0,0.0,
122,17.0,0,0.0,0,0,0.0,0.0,0.0,
123,52.0,0,0.0,0,0,0.0,0.0,0.0,
124,17.0,9.74,0.0,0,0,0.0,0.0,0.0,
125,15.0,6.74,0.0,0,0,0.0,0.0,0.0,
126,10.0,33.74,0.0,0,0,0.0,0.0,0.0,
127,12.0,7.74,0.0,0,0,0.0,0.0,0.0,
128,9.0,8.74,0.0,0,0,0.0,0.0,0.0,
129,10.0,0,0.0,0,0,0.0,0.0,0.0,
130,8.0,7.74,0.0,0,0,0.0,0.0,0.0,
131,0.0,5.74,0.0,0,0,0.0,0.0,0.0,
132,9.0,7.74,0.0,0,0,0.0,0.0,0.0,
133,31.0,7.74,0.0,0,0,0.0,0.0,0.0,
134,78.0,11.74,0.0,0,0,0.0,0.0,0.0,
135,10.0,9.74,0.0,0,0,0.0,0.0,0.0,
136,11.0,6.74,0.0,0,0,0.0,0.0,0.0,
137,6.0,6.74,0.0,0,0,0.0,0.0,0.0,
138,83.0,10.74,0.0,0,0,0.0,0.0,0.0,
139,6.0,10.74,0.0,0,1.6600000000000001,0.0,0.0,0.0,
140,6.0,6.74,0.0,0,0,0.0,0.0,0.0,
141,0.0,10.74,0.0,0,0,0.0,0.0,0.0,
142,8.0,5.74,0.0,0,0,0.0,0.0,0.0,
143,5.0,5.74,0.0,0,0,0.0,0.0,0.0,
144,4.0,0,0.0,0,0,0.0,0.0,0.0,
145,0.0,4.74,0.0,0,0,0.0,0.0,0.0,
146,41.0,5.74,0.0,0,0,0.0,0.0,0.0,
147,2.0,6.74,0.0,0,0,0.0,0.0,0.0,
148,82.0,5.74,0.0,0,0,0.0,0.0,0.0,
149,11.0,11.74,0.0,0,0,0.0,0.0,0.0,
150,0.0,5.74,0.0,0,0,0.0,0.0,0.0,
151,0.0,5.74,0.0,0,0,0.0,0.0,0.0,
152,0.0,0,0.0,0,0,0.0,0.0,0.0,
153,4.0,7.74,0.0,0,0,0.0,0.0,0.0,
154,0.0,0,0.0,0,0,0.0,0.0,0.0,
155,50.0,3.74,0.0,0,0,0.0,0.0,0.0,
156,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
157,0.0,4.74,0.0,0,0,0.0,0.0,0.0,
158,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
159,0.0,9.74,0.0,0,0,0.0,0.0,0.0,
160,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
161,49.0,1.7400000000000002,0.0,0,0,0.0,0.0,0.0,
162,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
163,8.0,3.74,0.0,0,0,0.0,0.0,0.0,
164,0.0,0,0.0,0,0,0.0,0.0,0.0,
165,0.0,1.7400000000000002,0.0,0,0,0.0,0.0,0.0,
166,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
167,0.0,0,0.0,0,0,0.0,0.0,0.0,
168,0.0,4.74,0.0,0,0,0.0,0.0,0.0,
169,0.0,1.7400000000000002,0.0,0,0,0.0,0.0,0.0,
170,34.0,1.7400000000000002,0.0,0,0.6600000000000001,0.0,0.0,0.0,
171,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
172,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
173,0.0,12.74,0.0,0,0,0.0,0.0,0.0,
174,0.0,0,0.0,0,0,0.0,0.0,0.0,
175,0.0,0.7400000000000002,0.0,0,0,0.0,0.0,0.0,
176,0.0,0,0.0,0,0,0.0,0.0,0.0,
177,0.0,2.74,0.0,0,0,0.0,0.0,0.0,
178,0.0,5.74,0.0,0,0,0.0,0.0,0.0,
179,0.0,3.74,0.0,0,0.6600000000000001,0.0,0.0,0.0,
180,0.0,0,0.0,0,0,0.0,0.0,0.0,
181,0.0,2.74,0.0,0,0,0.0,0.0,0.0,
182,0.0,0,0.0,0,0,0.0,0.0,0.0,
183,0.0,3.74,0.0,0,0,0.0,0.0,0.0,
184,0.0,1.7400000000000002,0.0,0,1.6600000000000001,0.0,0.0,0.0,
185,22.0,0,0.0,0,0,0.0,0.0,0.0,
186,0.0,2.74,0.0,0,0,0.0,0.0,0.0,
187,0.0,0.7400000000000002,0.0,0,0,0.0,0.0,0.0,
188,0.0,11.74,0.0,0,0.6600000000000001,0.0,0.0,0.0,
189,0.0,2.74,0.0,0,2.66,0.0,0.0,0.0,
190,0.0,2.74,0.0,0,0,0.0,0.0,0.0,
191,0.0,0,0.0,0,0,0.0,0.0,0.0,
192,0.0,3.74,0.0,0,5.66,0.0,0.0,0.0,
193,0.0,0.7400000000000002,0.0,0,0,0.0,0.0,0.0,
194,0.0,2.74,0.0,0,0,0.0,0.0,0.0,
195,0.0,1.7400000000000002,0.0,0,0,0.0,0.0,0.0,
196,0.0,1.7400000000000002,0.0,5.68,0,0.0,0.0,0.0,
197,0.0,1.7400000000000002,0.0,0,0,0.0,0.0,0.0,
198,0.0,1.7400000000000002,0.0,0,0,0.0,0.0,0.0,
199,12.0,8.74,0.0,0,0,0.0,0.0,0.0,
